代码,名称,最新价,综合看好得分,7日涨幅(%),RSI_14,放量比
02432,越疆,48.44,56.97,39.52,69.42,3.49
07747,XL二南三星,79.68,48.66,44.61,65.29,0.81
07709,XL二南方海力士,31.78,31.17,26.92,56.5,0.85
01138,中远海能,18.29,28.18,23.58,72.2,0.92
06869,长飞光纤光缆,111.6,24.76,22.91,69.47,0.37
09880,优必选,144.5,23.51,14.96,50.1,1.71
02525,禾赛-W,217.8,22.24,15.79,58.26,1.29
02338,潍柴动力,31.22,20.32,16.67,66.92,0.73
00390,中国中铁,4.86,19.09,12.24,58.24,1.37
00020,商汤-W,2.69,18.11,14.96,60.87,0.63
02498,速腾聚创,37.58,17.96,12.51,63.94,1.09
02050,三花智控,37.5,17.46,12.61,61.37,0.97
01801,信达生物,90.75,16.75,14.15,63.9,0.52
03896,金山云,7.2,14.59,10.94,42.16,0.73
09660,地平线机器人-W,8.9,14.57,10.42,49.64,0.83
03993,洛阳钼业,23.34,13.58,9.68,46.74,0.78
02899,紫金矿业,42.64,12.35,9.05,45.72,0.66
02359,药明康德,125.1,11.14,8.59,67.06,0.51
01093,石药集团,10.52,10.95,8.9,49.66,0.41
00016,新鸿基地产,135.7,10.92,6.77,70.37,0.83
